dlugosc,n,BiGRU,BiLSTM,DecisionTree,Emotion-BERT,Emotion-DeBERTaV3,Emotion-RoBERTa,NaiveBayes,Own-DeBERTaV3,Own-DistilBERT,Own-DistilRoBERTa,SVM
0-5,1407,53.9,49.8,66.5,29.5,30.2,13.8,47.1,30.1,28.6,31.7,52.1
5-10,2805,57.0,54.0,65.6,36.0,35.3,18.2,47.9,35.5,34.3,39.1,52.6
10-15,2648,57.4,56.5,67.7,38.9,40.4,21.0,52.5,38.7,38.0,41.6,55.9
15-20,2210,58.1,59.0,67.6,41.0,40.0,22.5,52.4,41.0,38.6,42.4,56.6
20-30,2020,60.4,60.9,70.5,42.8,41.2,22.7,54.6,42.7,41.1,45.1,56.5
30-40,2,50.0,50.0,100.0,0.0,50.0,0.0,50.0,0.0,0.0,0.0,50.0
