mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_colsample_bytree,param_learning_rate,param_max_depth,param_n_estimators,param_subsample,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
2.7821857929229736,0.09356928874687995,0.13547213872273764,0.009184242641964721,0.8,0.05,3,100,0.8,"{'colsample_bytree': 0.8, 'learning_rate': 0.05, 'max_depth': 3, 'n_estimators': 100, 'subsample': 0.8}",0.7556595832656496,0.7505796181165734,0.748216843628631,0.7514853483369514,0.003105248648143086,48
2.8033039569854736,0.12836037711122888,0.1602142651875814,0.006032726422362931,0.8,0.05,3,100,1.0,"{'colsample_bytree': 0.8, 'learning_rate': 0.05, 'max_depth': 3, 'n_estimators': 100, 'subsample': 1.0}",0.7557924893305965,0.7491028840616093,0.7539465717618914,0.7529473150513658,0.0028209443033451616,47
4.829336563746135,0.14468004646535818,0.29152576128641766,0.03803436015515656,0.8,0.05,3,200,0.8,"{'colsample_bytree': 0.8, 'learning_rate': 0.05, 'max_depth': 3, 'n_estimators': 200, 'subsample': 0.8}",0.7930209548562399,0.7888860995023407,0.7945124562517536,0.7921398368701112,0.0023799508744265377,41
4.582802057266235,0.05580140064772518,0.2523922125498454,0.013193917210709791,0.8,0.05,3,200,1.0,"{'colsample_bytree': 0.8, 'learning_rate': 0.05, 'max_depth': 3, 'n_estimators': 200, 'subsample': 1.0}",0.7845740360618456,0.7942023421002111,0.7972001122317882,0.7919921634646151,0.005386286108456817,42
3.755795160929362,0.016949750490537888,0.17632627487182617,0.0016261849845598713,0.8,0.05,5,100,0.8,"{'colsample_bytree': 0.8, 'learning_rate': 0.05, 'max_depth': 5, 'n_estimators': 100, 'subsample': 0.8}",0.8297030287815468,0.8318295258206949,0.8410000443020217,0.8341775329680878,0.0049017339170691265,36
3.2968834241231284,0.2941701420223216,0.20790251096089682,0.01820233298995692,0.8,0.05,5,100,1.0,"{'colsample_bytree': 0.8, 'learning_rate': 0.05, 'max_depth': 5, 'n_estimators': 100, 'subsample': 1.0}",0.834044626903141,0.8376478579972533,0.8357281037258,0.8358068628753981,0.0014720667630078277,35
7.9871143500010175,0.13346272338649254,0.4526711304982503,0.10958210787709659,0.8,0.05,5,200,0.8,"{'colsample_bytree': 0.8, 'learning_rate': 0.05, 'max_depth': 5, 'n_estimators': 200, 'subsample': 0.8}",0.9102441041392856,0.9185876515498324,0.9072020319860596,0.9120112625583925,0.0048131915864220755,26
7.715835014979045,0.08970073148587934,0.45694438616434735,0.04885759988373632,0.8,0.05,5,200,1.0,"{'colsample_bytree': 0.8, 'learning_rate': 0.05, 'max_depth': 5, 'n_estimators': 200, 'subsample': 1.0}",0.9164020851484856,0.9130351315031676,0.9147776776880252,0.914738298113226,0.001374835087228914,25
6.123045523961385,0.07980054837586366,0.27868445714314777,0.02755682853464752,0.8,0.05,7,100,0.8,"{'colsample_bytree': 0.8, 'learning_rate': 0.05, 'max_depth': 7, 'n_estimators': 100, 'subsample': 0.8}",0.924597959153536,0.9368696191502872,0.9372831046856771,0.9329168943298335,0.005884797046773604,20
6.118659257888794,0.03912644051085809,0.2634856700897217,0.023173594926448087,0.8,0.05,7,100,1.0,"{'colsample_bytree': 0.8, 'learning_rate': 0.05, 'max_depth': 7, 'n_estimators': 100, 'subsample': 1.0}",0.9322622088987994,0.9351418403059792,0.9375489168155707,0.934984322006783,0.0021611615951071905,19
9.63285501797994,0.06553357762942578,0.6510937213897705,0.00736567274690029,0.8,0.05,7,200,0.8,"{'colsample_bytree': 0.8, 'learning_rate': 0.05, 'max_depth': 7, 'n_estimators': 200, 'subsample': 0.8}",0.9781148013054329,0.9729609994536084,0.9753680759631997,0.975481292240747,0.0021055532647570856,10
8.081346909205118,0.819051971119497,0.6359963417053223,0.07703423426111343,0.8,0.05,7,200,1.0,"{'colsample_bytree': 0.8, 'learning_rate': 0.05, 'max_depth': 7, 'n_estimators': 200, 'subsample': 1.0}",0.975072729152207,0.9742457580814271,0.9710412451821552,0.9734532441385965,0.0017386344281997035,14
2.607174793879191,0.11898461786134387,0.14078299204508463,0.005193382496119994,0.8,0.1,3,100,0.8,"{'colsample_bytree': 0.8, 'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 100, 'subsample': 0.8}",0.7924007265531551,0.7917657309095205,0.8033285585598889,0.7958316720075215,0.00530743414788222,37
2.640052159627279,0.11798099603362183,0.1355117162068685,0.012898007031610315,0.8,0.1,3,100,1.0,"{'colsample_bytree': 0.8, 'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 100, 'subsample': 1.0}",0.7826542817903923,0.7905843436655493,0.7996219560819292,0.7909535271792903,0.006931941289712626,43
4.807809750239055,0.17080961616412008,0.28661012649536133,0.018891888543755283,0.8,0.1,3,200,0.8,"{'colsample_bytree': 0.8, 'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 200, 'subsample': 0.8}",0.8495503344802634,0.8468774458407785,0.8498752159723555,0.8487676654311325,0.0013431516595416942,31
4.224974473317464,0.14553217546459413,0.26430590947469074,0.01892125248330736,0.8,0.1,3,200,1.0,"{'colsample_bytree': 0.8, 'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 200, 'subsample': 1.0}",0.8466854704136332,0.8484723186201397,0.8521050843953513,0.8490876244763749,0.002254921269911118,30
3.256701628367106,0.16898359415651415,0.23819565773010254,0.04145938225567265,0.8,0.1,5,100,0.8,"{'colsample_bytree': 0.8, 'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 100, 'subsample': 0.8}",0.9037021722757949,0.9233279678662669,0.8977509340342897,0.9082603580587838,0.010927914047206767,27
